"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20250116 119193 1,534 202,501,160,004","1/16/2025","1/14/2025","Debit","-15.34000","","34932242","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       314-845-3499 MO"
"20250116 119193 1,151 202,501,160,003","1/16/2025","1/16/2025","Debit","-11.51000","","34932243","Panera Bread","Restaurants & Dining","","","","PANERA BREAD #600752 O   314-845-1700 MO"
"20250116 119193 1,399 202,501,160,002","1/16/2025","1/16/2025","Debit","-13.99000","","34932244","Amazon Kindle","Hobbies","","","","Kindle Svcs*ZG9FF6X62    888-802-3080 WA"
"20250116 119193 2,299 202,501,160,001","1/16/2025","1/15/2025","Debit","-22.99000","","34932245","Adobe","Online Services","","","","Adobe Inc                800-8336687  CA"
"20250115 119193 618 202,501,150,001","1/15/2025","1/13/2025","Debit","-6.18000","","34902809","Scooter's Coffee","Restaurants & Dining","","","","SCOOTER'S COFFEE #691    WATERLOO     IL"
"20250114 119193 2,351 202,501,140,005","1/14/2025","1/12/2025","Debit","-23.51000","","34871458","ZX 64 SAINT LOUIS MO","Restaurants & Dining","","","","ZX 64                    SAINT LOUIS  MO"
"20250114 119193 1,392 202,501,140,004","1/14/2025","1/13/2025","Debit","-13.92000","","34871459","EL PASO MX COCINA COLUMBIA IL","Restaurants & Dining","","","","EL PASO MX COCINA        COLUMBIA     IL"
"20250114 119193 1,500 202,501,140,003","1/14/2025","1/12/2025","Debit","-15.00000","","34871460","ST LOUIS PARKING COMPANYSAINT LOUIS MO","Travel & Commute","","","","ST  LOUIS PARKING COMPANYSAINT LOUIS  MO"
"20250114 119193 618 202,501,140,002","1/14/2025","1/12/2025","Debit","-6.18000","","34871461","Scooter's Coffee","Restaurants & Dining","","","","SCOOTER'S COFFEE #691    WATERLOO     IL"
"20250114 119193 43,319 202,501,140,001","1/14/2025","1/14/2025","Credit","433.19000","","34871462","Credit Card Payment Received","Credit Card Payments","","","","PAYMENT - THANK YOU"
"20250113 119193 1,092 202,501,130,001","1/13/2025","1/12/2025","Debit","-10.92000","","34848090","Panda Express","Restaurants & Dining","","","","PANDA EXPRESS #2369      GREEN PARK   MO"
"20250112 119193 1,448 202,501,120,003","1/12/2025","1/10/2025","Debit","-14.48000","","34848087","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       ST LOUIS     MO"
"20250112 119193 21,499 202,501,120,002","1/12/2025","1/10/2025","Debit","-214.99000","","34848088","Amazon","Shopping","","","","Amazon.com*Z58YZ0HX2     Amzn.com/billWA"
"20250112 119193 1,500 202,501,120,001","1/12/2025","1/11/2025","Debit","-15.00000","","34848089","Starbucks","Restaurants & Dining","","","","STARBUCKS 800-782-7282   800-782-7282 WA"
"20250110 119193 1,534 202,501,100,001","1/10/2025","1/8/2025","Debit","-15.34000","","34848086","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       314-845-3499 MO"
"20250109 119193 2,309 202,501,090,001","1/9/2025","1/7/2025","Debit","-23.09000","","34848085","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       ST LOUIS     MO"
"20250106 119193 6,593 202,501,060,001","1/6/2025","1/4/2025","Debit","-65.93000","","34749417","TEQUILA MEXICAN RESTAURANCOLUMBIA IL","Restaurants & Dining","","","","TEQUILA MEXICAN RESTAURANCOLUMBIA     IL"
"20250105 119193 1,478 202,501,050,003","1/5/2025","1/3/2025","Debit","-14.78000","","34749414","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       ST LOUIS     MO"
"20250105 119193 448 202,501,050,002","1/5/2025","1/3/2025","Debit","-4.48000","","34749415","Schnucks","Groceries","","","","SCHNUCKS TELEGRAPH       ST. LOUIS    MO"
"20250105 119193 1,500 202,501,050,001","1/5/2025","1/4/2025","Debit","-15.00000","","34749416","Starbucks","Restaurants & Dining","","","","STARBUCKS 800-782-7282   800-782-7282 WA"
"20250103 119193 2,692 202,501,030,003","1/3/2025","1/2/2025","Debit","-26.92000","","34628436","Mai Lee Restaurant","Restaurants & Dining","","","","MAI LEE RESTAURANT       SAINT LOUIS  MO"
"20250103 119193 1,226 202,501,030,002","1/3/2025","1/1/2025","Debit","-12.26000","","34628437","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       ST LOUIS     MO"
"20250103 119193 100,892 202,501,030,001","1/3/2025","1/3/2025","Credit","1008.92000","","34628438","Credit Card Payment Received","Credit Card Payments","","","","PAYMENT - THANK YOU"
"20250102 119193 3,792 202,501,020,002","1/2/2025","12/31/2024","Debit","-37.92000","","34590076","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       ST LOUIS     MO"
"20250102 119193 701 202,501,020,001","1/2/2025","1/1/2025","Debit","-7.01000","","34590077","SQ *CLEMENTINE'S NAUGHTY Clayton MO","Restaurants & Dining","","","","SQ *CLEMENTINE'S NAUGHTY Clayton      MO"
